group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get 1,,,,,1891533.0,ns,5
get 1,,,,,3164364.0,ns,10
get 1,,,,,4542712.0,ns,15
get 1,,,,,5668109.0,ns,20
get 1,,,,,6997049.0,ns,25
get 1,,,,,7999349.0,ns,30
get 1,,,,,9651438.0,ns,35
get 1,,,,,10449235.0,ns,40
get 1,,,,,11991798.0,ns,45
get 1,,,,,12746896.0,ns,50
get 1,,,,,13913400.0,ns,55
get 1,,,,,15489882.0,ns,60
get 1,,,,,17141102.0,ns,65
get 1,,,,,18158782.0,ns,70
get 1,,,,,19738484.0,ns,75
get 1,,,,,19779523.0,ns,80
get 1,,,,,21663136.0,ns,85
get 1,,,,,21708424.0,ns,90
get 1,,,,,24077033.0,ns,95
get 1,,,,,24720534.0,ns,100
get 1,,,,,26387934.0,ns,105
get 1,,,,,27376133.0,ns,110
get 1,,,,,28329785.0,ns,115
get 1,,,,,29745802.0,ns,120
get 1,,,,,31356644.0,ns,125
get 1,,,,,32317054.0,ns,130
get 1,,,,,33486419.0,ns,135
get 1,,,,,35394172.0,ns,140
get 1,,,,,35737142.0,ns,145
get 1,,,,,37602025.0,ns,150
get 1,,,,,38416880.0,ns,155
get 1,,,,,38967013.0,ns,160
get 1,,,,,41782359.0,ns,165
get 1,,,,,41359751.0,ns,170
get 1,,,,,43481047.0,ns,175
get 1,,,,,44347891.0,ns,180
get 1,,,,,44604134.0,ns,185
get 1,,,,,46271293.0,ns,190
get 1,,,,,43491986.0,ns,195
get 1,,,,,48504206.0,ns,200
get 1,,,,,49136857.0,ns,205
get 1,,,,,52247353.0,ns,210
get 1,,,,,51516325.0,ns,215
get 1,,,,,52891433.0,ns,220
get 1,,,,,54444076.0,ns,225
get 1,,,,,54650840.0,ns,230
get 1,,,,,56812905.0,ns,235
get 1,,,,,57511973.0,ns,240
get 1,,,,,58962520.0,ns,245
get 1,,,,,60580741.0,ns,250
get 1,,,,,61560281.0,ns,255
get 1,,,,,61669968.0,ns,260
get 1,,,,,63275580.0,ns,265
get 1,,,,,64693777.0,ns,270
get 1,,,,,66001517.0,ns,275
get 1,,,,,66154763.0,ns,280
get 1,,,,,68026516.0,ns,285
get 1,,,,,69054956.0,ns,290
get 1,,,,,69965918.0,ns,295
get 1,,,,,71606198.0,ns,300
get 1,,,,,72569509.0,ns,305
get 1,,,,,70391265.0,ns,310
get 1,,,,,75233979.0,ns,315
get 1,,,,,77428773.0,ns,320
get 1,,,,,74566869.0,ns,325
get 1,,,,,74539799.0,ns,330
get 1,,,,,79522690.0,ns,335
get 1,,,,,81717762.0,ns,340
get 1,,,,,81630926.0,ns,345
get 1,,,,,85470480.0,ns,350
get 1,,,,,84445900.0,ns,355
get 1,,,,,86879657.0,ns,360
get 1,,,,,92110009.0,ns,365
get 1,,,,,88301064.0,ns,370
get 1,,,,,90259176.0,ns,375
get 1,,,,,85117320.0,ns,380
get 1,,,,,92379042.0,ns,385
get 1,,,,,92317483.0,ns,390
get 1,,,,,94223946.0,ns,395
get 1,,,,,96541826.0,ns,400
get 1,,,,,90203506.0,ns,405
get 1,,,,,97905524.0,ns,410
get 1,,,,,97713710.0,ns,415
get 1,,,,,100264943.0,ns,420
get 1,,,,,102268103.0,ns,425
get 1,,,,,101601652.0,ns,430
get 1,,,,,101746048.0,ns,435
get 1,,,,,105571653.0,ns,440
get 1,,,,,105220764.0,ns,445
get 1,,,,,105900093.0,ns,450
get 1,,,,,100949663.0,ns,455
get 1,,,,,110659560.0,ns,460
get 1,,,,,104553174.0,ns,465
get 1,,,,,114334128.0,ns,470
get 1,,,,,110349189.0,ns,475
get 1,,,,,108765306.0,ns,480
get 1,,,,,108545884.0,ns,485
get 1,,,,,107617661.0,ns,490
get 1,,,,,117470044.0,ns,495
get 1,,,,,111513934.0,ns,500
