group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get 100,,,,,2881383.0,ns,2
get 100,,,,,4461226.0,ns,4
get 100,,,,,6459515.0,ns,6
get 100,,,,,8165593.0,ns,8
get 100,,,,,10302899.0,ns,10
get 100,,,,,11592760.0,ns,12
get 100,,,,,13614279.0,ns,14
get 100,,,,,15165692.0,ns,16
get 100,,,,,16865501.0,ns,18
get 100,,,,,18778043.0,ns,20
get 100,,,,,19996217.0,ns,22
get 100,,,,,21790302.0,ns,24
get 100,,,,,23164851.0,ns,26
get 100,,,,,25119462.0,ns,28
get 100,,,,,26908508.0,ns,30
get 100,,,,,28741342.0,ns,32
get 100,,,,,30843379.0,ns,34
get 100,,,,,32000664.0,ns,36
get 100,,,,,33795529.0,ns,38
get 100,,,,,35508748.0,ns,40
get 100,,,,,37620654.0,ns,42
get 100,,,,,38796978.0,ns,44
get 100,,,,,41297703.0,ns,46
get 100,,,,,42640462.0,ns,48
get 100,,,,,44885555.0,ns,50
get 100,,,,,46117738.0,ns,52
get 100,,,,,47564804.0,ns,54
get 100,,,,,49468216.0,ns,56
get 100,,,,,51097708.0,ns,58
get 100,,,,,52588102.0,ns,60
get 100,,,,,55376168.0,ns,62
get 100,,,,,57585151.0,ns,64
get 100,,,,,58941710.0,ns,66
get 100,,,,,60777195.0,ns,68
get 100,,,,,62274440.0,ns,70
get 100,,,,,64252250.0,ns,72
get 100,,,,,67154573.0,ns,74
get 100,,,,,68340307.0,ns,76
get 100,,,,,69152912.0,ns,78
get 100,,,,,70749424.0,ns,80
get 100,,,,,72303307.0,ns,82
get 100,,,,,74328686.0,ns,84
get 100,,,,,76149941.0,ns,86
get 100,,,,,77625767.0,ns,88
get 100,,,,,80327245.0,ns,90
get 100,,,,,82175089.0,ns,92
get 100,,,,,83956245.0,ns,94
get 100,,,,,84870438.0,ns,96
get 100,,,,,86660343.0,ns,98
get 100,,,,,88345303.0,ns,100
get 100,,,,,89674143.0,ns,102
get 100,,,,,91889076.0,ns,104
get 100,,,,,93250345.0,ns,106
get 100,,,,,95885096.0,ns,108
get 100,,,,,96833907.0,ns,110
get 100,,,,,99861226.0,ns,112
get 100,,,,,102154196.0,ns,114
get 100,,,,,102925312.0,ns,116
get 100,,,,,104828255.0,ns,118
get 100,,,,,106192334.0,ns,120
get 100,,,,,108111716.0,ns,122
get 100,,,,,109207163.0,ns,124
get 100,,,,,111364968.0,ns,126
get 100,,,,,113819394.0,ns,128
get 100,,,,,114146594.0,ns,130
get 100,,,,,115314719.0,ns,132
get 100,,,,,118316598.0,ns,134
get 100,,,,,119676257.0,ns,136
get 100,,,,,121397305.0,ns,138
get 100,,,,,122347497.0,ns,140
get 100,,,,,127550829.0,ns,142
get 100,,,,,127403434.0,ns,144
get 100,,,,,128779772.0,ns,146
get 100,,,,,130392634.0,ns,148
get 100,,,,,128805452.0,ns,150
get 100,,,,,134537679.0,ns,152
get 100,,,,,135844339.0,ns,154
get 100,,,,,137421871.0,ns,156
get 100,,,,,138718492.0,ns,158
get 100,,,,,141306864.0,ns,160
get 100,,,,,143205146.0,ns,162
get 100,,,,,145243455.0,ns,164
get 100,,,,,146420429.0,ns,166
get 100,,,,,147966963.0,ns,168
get 100,,,,,149812847.0,ns,170
get 100,,,,,151345781.0,ns,172
get 100,,,,,152881524.0,ns,174
get 100,,,,,153927032.0,ns,176
get 100,,,,,154902233.0,ns,178
get 100,,,,,158463696.0,ns,180
get 100,,,,,159721838.0,ns,182
get 100,,,,,161339210.0,ns,184
get 100,,,,,162868893.0,ns,186
get 100,,,,,164584392.0,ns,188
get 100,,,,,166367098.0,ns,190
get 100,,,,,168015798.0,ns,192
get 100,,,,,169923030.0,ns,194
get 100,,,,,166730047.0,ns,196
get 100,,,,,174537061.0,ns,198
get 100,,,,,175954258.0,ns,200
