group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
put 1,,,,,54308331.0,ns,15
put 1,,,,,56926951.0,ns,15
put 1,,,,,52870163.0,ns,15
put 1,,,,,59134795.0,ns,15
put 1,,,,,50231763.0,ns,15
put 1,,,,,60100165.0,ns,15
put 1,,,,,50131167.0,ns,15
put 1,,,,,64206411.0,ns,15
put 1,,,,,49622312.0,ns,15
put 1,,,,,55088347.0,ns,15
put 1,,,,,51804196.0,ns,15
put 1,,,,,55101596.0,ns,15
put 1,,,,,52955581.0,ns,15
put 1,,,,,55043968.0,ns,15
put 1,,,,,51837035.0,ns,15
put 1,,,,,55288011.0,ns,15
put 1,,,,,50638511.0,ns,15
put 1,,,,,59363958.0,ns,15
put 1,,,,,55954451.0,ns,15
put 1,,,,,55535673.0,ns,15
put 1,,,,,53236983.0,ns,15
put 1,,,,,58662349.0,ns,15
put 1,,,,,49760348.0,ns,15
put 1,,,,,55590972.0,ns,15
put 1,,,,,50490245.0,ns,15
put 1,,,,,66571521.0,ns,15
put 1,,,,,49029879.0,ns,15
put 1,,,,,52496315.0,ns,15
put 1,,,,,48368150.0,ns,15
put 1,,,,,52134276.0,ns,15
put 1,,,,,47742168.0,ns,15
put 1,,,,,50563654.0,ns,15
put 1,,,,,47218135.0,ns,15
put 1,,,,,58297310.0,ns,15
put 1,,,,,50801177.0,ns,15
put 1,,,,,52410618.0,ns,15
put 1,,,,,48168595.0,ns,15
put 1,,,,,55866014.0,ns,15
put 1,,,,,47121328.0,ns,15
put 1,,,,,54072437.0,ns,15
put 1,,,,,66143733.0,ns,15
put 1,,,,,73494761.0,ns,15
put 1,,,,,60395066.0,ns,15
put 1,,,,,69453913.0,ns,15
put 1,,,,,63222392.0,ns,15
put 1,,,,,69243109.0,ns,15
put 1,,,,,66133833.0,ns,15
put 1,,,,,74243909.0,ns,15
put 1,,,,,64093645.0,ns,15
put 1,,,,,73620167.0,ns,15
put 1,,,,,64371546.0,ns,15
put 1,,,,,69202831.0,ns,15
put 1,,,,,73524971.0,ns,15
put 1,,,,,69230580.0,ns,15
put 1,,,,,67270749.0,ns,15
put 1,,,,,71092534.0,ns,15
put 1,,,,,67041146.0,ns,15
put 1,,,,,75141342.0,ns,15
put 1,,,,,69209921.0,ns,15
put 1,,,,,77825250.0,ns,15
put 1,,,,,66305578.0,ns,15
put 1,,,,,70146212.0,ns,15
put 1,,,,,68896940.0,ns,15
put 1,,,,,70375475.0,ns,15
put 1,,,,,63283349.0,ns,15
put 1,,,,,70191270.0,ns,15
put 1,,,,,63625139.0,ns,15
put 1,,,,,74344296.0,ns,15
put 1,,,,,64312988.0,ns,15
put 1,,,,,69770634.0,ns,15
put 1,,,,,64285679.0,ns,15
put 1,,,,,78474931.0,ns,15
put 1,,,,,63367777.0,ns,15
put 1,,,,,70162932.0,ns,15
put 1,,,,,64314278.0,ns,15
put 1,,,,,70321258.0,ns,15
put 1,,,,,64877911.0,ns,15
put 1,,,,,70395195.0,ns,15
put 1,,,,,67824772.0,ns,15
put 1,,,,,70861291.0,ns,15
put 1,,,,,66300868.0,ns,15
put 1,,,,,71293937.0,ns,15
put 1,,,,,64788154.0,ns,15
put 1,,,,,70877260.0,ns,15
put 1,,,,,63584881.0,ns,15
put 1,,,,,69503012.0,ns,15
put 1,,,,,63873962.0,ns,15
put 1,,,,,75360744.0,ns,15
put 1,,,,,67617608.0,ns,15
put 1,,,,,87849458.0,ns,15
put 1,,,,,68086635.0,ns,15
put 1,,,,,77474711.0,ns,15
put 1,,,,,65060996.0,ns,15
put 1,,,,,73297057.0,ns,15
put 1,,,,,66971468.0,ns,15
put 1,,,,,75038135.0,ns,15
put 1,,,,,67679977.0,ns,15
put 1,,,,,74904038.0,ns,15
put 1,,,,,67682687.0,ns,15
put 1,,,,,77261187.0,ns,15
